GSM3119483	GSM3119484	GSM3119485	GSM3119486	GSM3119487	GSM3119488
100287102	2	3	2	10	1	1
653635	1120	1373	1917	1557	1208	1321
102466751	79	105	107	24	53	75
107985730	1	0	1	0	1	1
100302278	0	0	0	0	0	2
645520	2	3	5	5	2	10
79501	0	0	0	0	0	0
100996442	57	116	67	27	21	48
729737	484	1067	718	352	533	499
102725121	3	2	2	4	1	1
102723897	1268	1253	2244	1684	1334	1406
102465909	58	73	70	11	36	39
107985721	2	1	2	0	1	3
112268260	7	22	30	6	12	24
729759	0	0	1	0	0	1
100132287	475	680	602	220	314	333
105378947	0	7	3	2	2	6
101928626	0	0	1	0	0	0
113219467	4262	2537	5657	14767	2643	2931
81399	1	3	4	2	2	7
100133331	458	724	749	221	321	396
107984841	35	103	101	49	23	60
107984847	47	129	125	74	37	83
107984849	9	40	19	4	4	17
100288069	47	77	47	54	32	53
105378580	23	26	27	25	4	23
400728	10	21	14	13	4	22
79854	61	151	223	27	65	61
643837	542	722	1012	326	501	494
107984850	8	8	5	7	5	1
284593	2	1	1	7	2	2
284600	26	43	84	207	126	23
100130417	155	60	353	196	83	115
107985728	100	69	176	13	8	69
148398	1153	362	2613	1212	816	926
26155	3105	2875	5321	2153	2573	3299
339451	454	557	1084	205	465	441
84069	111	153	180	47	101	48
84808	24	43	30	20	28	8
57801	873	755	1323	627	568	289
9636	7563	1405	3415	9377	2053	941
375790	8317	10059	8397	3420	5483	6290
100288175	31	14	38	7	33	12
112267874	25	32	88	7	37	13
105378948	52	55	106	9	60	48
401934	22	69	14	0	48	10
54991	438	514	783	394	540	454
254099	2	2	5	1	3	2
406984	6	1	1	1	1	6
406983	6	1	5	1	0	1
554210	18	1	7	7	9	26
100506376	11	4	9	5	9	4
254173	28	26	33	33	38	20
8784	949	653	1816	1545	1515	457
7293	211	211	420	170	210	166
51150	12514	10858	16260	6635	14899	11300
126792	803	645	1696	1343	1315	1288
388581	24	68	51	50	90	26
118424	1557	1556	2363	1254	1349	1614
101928895	44	85	88	51	42	61
6339	132	148	320	105	128	145
116983	2347	2974	4827	1667	2457	2743
102465434	0	0	1	0	3	1
109623456	15	30	39	0	2	20
126789	276	281	544	410	396	347
54973	3176	3783	6287	2119	3611	3408
102465435	12	9	17	17	12	17
80772	787	1067	1225	595	984	955
83756	12	18	41	21	29	15
1855	2215	2645	4231	1171	1971	2254
102466740	4	5	8	4	2	5
54587	35078	16405	41362	26795	17264	13303
54998	1979	1713	3726	3920	3222	2162
81669	6163	8299	12437	2547	5693	7556
148413	983	811	1508	882	672	1047
55052	2303	1845	3676	3006	2039	2055
107984868	10	5	16	10	4	24
441869	775	224	398	597	185	267
105378585	9	7	21	10	23	21
643965	6	10	13	17	0	8
102724312	68	22	109	150	49	33
107985729	14	30	47	9	9	12
64856	5931	3740	7348	4824	3402	3342
219293	117	96	181	231	187	201
83858	1444	1733	2679	1060	1264	1416
55210	999	1048	1705	810	1063	1019
339453	65	46	159	64	88	74
29101	2359	2398	3782	2381	2259	2501
643988	67	103	244	131	291	153
105378586	2	9	16	2	15	18
142678	2197	3706	4558	1515	2766	2400
8510	74	155	202	132	123	71
984	2124	2824	3530	918	1686	1978
728661	2105	4617	4765	546	1248	3328
8511	64	80	155	49	66	35
728642	1735	2103	2816	641	1333	1065
9906	1830	1588	2386	534	666	1034
112268218	299	225	498	344	242	236
65220	2754	3129	4792	1088	2104	2807
2782	12838	13965	18738	5274	6268	11150
105378949	18	13	34	16	17	20
163688	49	79	74	37	50	45
339456	1	3	2	4	6	3
85452	16	31	27	19	34	9
107984872	0	4	2	2	0	1
105378589	0	4	3	10	0	3
2563	19	102	61	12	23	35
105378590	0	0	1	1	0	1
105378591	0	0	0	2	0	0
5590	511	1252	972	474	794	833
100506504	66	173	98	25	64	74
199990	1041	1055	2077	2112	1656	1054
112268219	206	229	402	187	226	242
105378593	11	12	23	9	17	17
6497	2778	3157	3656	699	930	2163
79906	127	276	322	114	183	259
100129534	125	133	192	77	133	139
11079	4815	4114	7645	3831	4380	4592
5192	881	844	1644	846	938	961
9651	823	891	828	303	540	529
55229	687	940	1120	178	582	843
388585	1	20	7	11	6	7
115110	629	763	1016	232	300	460
8764	2516	2536	4215	1967	2411	2257
100996583	4	6	8	4	1	4
127281	408	459	810	296	354	650
79258	69	93	183	75	93	110
105378597	1	3	1	2	1	0
100287898	17	29	58	29	19	28
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	1	0	0	0	0
112268220	0	0	0	0	0	0
107985732	0	0	0	0	0	0
105378600	0	1	0	0	0	0
105378598	0	4	0	2	4	2
107984904	0	0	0	1	0	0
105378599	0	1	0	2	0	0
140625	0	0	5	0	0	0
440556	3	10	11	0	1	0
63976	8	17	23	7	18	7
100422968	0	0	0	0	0	0
105378606	0	1	0	0	0	0
107984909	0	1	0	0	0	3
105378605	0	2	0	0	0	0
105378604	5	1	2	1	2	1
27237	568	1780	900	252	1225	770
1953	599	1401	1441	174	309	667
105378608	1	5	5	0	2	6
693135	0	0	0	0	0	0
105378607	0	0	0	0	0	2
127262	2432	3081	3673	1745	1652	2318
49856	419	645	949	263	420	572
7161	30	24	38	34	60	31
105378610	2	1	1	0	2	0
105378609	0	0	0	0	0	0
57212	880	1304	1472	455	488	1181
148870	1	1	1	0	2	1
388588	12	24	15	17	29	15
57470	1499	1838	2686	845	1157	1848
9731	872	1497	1190	393	551	1032
1677	157	313	416	72	131	274
107984910	7	9	16	3	3	7
339448	547	783	912	309	341	621
100133612	15	11	17	3	6	9
728716	0	0	0	0	0	0
105376672	0	1	0	0	0	0
105376673	1	0	1	0	0	0
284661	0	1	0	0	0	0
105376674	0	0	0	0	1	0
105376679	0	0	0	0	0	0
107985376	2	0	1	0	0	0
55966	307	191	778	176	163	246
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	1	0	0	1	0
105376686	0	0	0	0	1	0
100616421	0	0	4	0	0	0
261734	526	923	1047	208	405	726
