GSM1587300	GSM1587301	GSM1587302	GSM1587303	GSM1587304	GSM1587305	GSM1587306	GSM1587307	GSM1587308	GSM1587309	GSM1587310	GSM1587311	GSM1587312	GSM1587313	GSM1587314	GSM1587316	GSM1587317	GSM1587318	GSM1587319
100287102	7	6	4	3	5	3	2	5	2	10	6	3	2	3	6	2	5	2	4
653635	323	419	364	455	326	268	354	291	363	333	349	264	377	371	372	281	309	397	451
102466751	20	16	15	23	20	14	20	14	17	23	20	18	13	24	16	15	16	36	36
107985730	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	1
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
645520	1	1	2	3	2	2	2	1	1	2	2	1	2	2	2	2	3	4	2
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	47	24	28	18	31	11	38	26	17	24	26	23	27	53	23	29	33	31	26
729737	306	212	167	230	603	126	250	346	336	212	330	253	416	343	242	274	110	209	303
102725121	6	5	1	3	4	5	1	6	1	7	5	3	1	1	5	1	6	1	4
102723897	329	441	337	506	370	322	388	346	469	260	396	306	303	385	421	379	402	479	573
102465909	9	7	9	4	15	6	13	9	8	4	7	7	10	12	8	9	9	13	13
107985721	1	0	1	0	1	1	1	1	2	0	1	1	1	1	0	1	0	0	1
112268260	7	14	5	1	19	2	7	5	5	6	7	9	9	10	5	7	5	5	8
729759	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
100132287	311	192	185	154	273	143	314	308	250	203	198	197	268	200	196	192	168	241	195
105378947	3	2	1	0	2	0	2	0	2	1	2	4	1	1	1	1	2	2	1
101928626	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	10164	10975	14975	11332	15259	10343	12189	7802	5203	7488	16865	11769	15366	12815	12966	12651	10126	3507	5152
81399	1	1	1	1	3	0	2	2	1	1	2	3	2	2	2	1	2	2	2
100133331	403	269	247	236	343	212	456	431	336	299	275	251	327	269	299	279	240	375	262
107984841	65	54	44	45	57	39	78	65	30	61	58	44	55	47	60	45	43	56	54
107984847	77	69	85	76	96	60	116	92	53	70	80	79	100	87	90	80	61	80	80
107984849	11	11	7	4	8	4	7	8	5	3	6	9	10	7	5	7	6	7	8
100288069	65	34	31	29	38	23	45	46	20	28	46	42	43	34	35	29	24	41	28
