GSM5591871	GSM5591872	GSM5591873	GSM5591874	GSM5591875	GSM5591876	GSM5591877	GSM5591878	GSM5591879	GSM5591880
100287102	7	5	4	2	4	4	1	3	1	2
653635	666	678	657	453	508	701	490	555	357	416
102466751	31	20	8	23	14	20	28	6	12	13
107985730	1	1	2	0	1	1	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	1	2	1	0	0
79501	0	0	0	0	0	0	0	0	0	0
100996442	50	41	32	37	21	65	50	25	30	38
729737	248	349	271	136	120	649	393	284	211	130
102725121	7	3	2	0	4	2	0	0	1	2
102723897	669	757	815	474	603	676	522	625	434	436
102465909	18	10	4	10	6	16	12	6	6	7
107985721	1	0	2	0	1	2	1	1	0	0
112268260	11	13	11	11	10	18	15	9	6	10
729759	0	1	0	1	0	0	0	0	0	0
100132287	275	241	166	182	89	397	292	195	157	108
105378947	0	2	0	0	0	1	2	2	1	1
101928626	0	0	0	0	0	0	0	0	0	0
113219467	6337	7297	2859	5194	4341	3442	3290	9607	4457	2004
81399	2	3	3	2	1	4	3	5	1	3
100133331	304	199	160	192	79	408	280	168	159	110
107984841	46	37	24	26	7	74	46	24	26	20
107984847	76	48	29	54	7	108	60	39	43	25
107984849	7	6	5	7	1	26	14	4	5	6
100288069	49	44	36	27	16	89	74	42	60	31
105378580	35	16	26	12	11	32	30	11	11	32
400728	10	10	17	5	3	19	13	6	15	10
79854	14	49	44	16	8	68	25	37	36	12
643837	203	348	295	204	194	215	466	427	288	144
107984850	0	2	1	0	0	2	2	1	1	0
284593	7	7	2	1	3	4	2	1	1	2
284600	18	7	26	26	0	96	29	7	6	2
100130417	12	16	76	126	8	251	63	33	6	4
107985728	13	31	133	148	3	306	80	36	13	7
148398	161	245	1018	577	169	1007	304	364	179	128
26155	1490	1538	2178	1518	1080	1566	1519	2503	1541	1391
339451	152	217	221	142	86	369	321	332	232	71
84069	64	282	53	52	79	69	140	224	211	39
84808	13	50	9	11	27	33	47	48	39	11
57801	193	548	482	312	201	430	501	1428	289	48
9636	433	497	437	235	381	225	615	7788	638	174
375790	5541	9142	6668	6720	2846	8252	5312	8842	4629	3400
100288175	46	183	48	30	57	77	126	252	87	14
112267874	70	259	73	71	85	107	151	271	86	26
105378948	159	367	125	117	98	205	249	398	189	57
401934	158	392	277	102	150	187	210	940	157	69
54991	353	237	381	286	209	487	248	382	237	200
254099	0	0	0	1	0	4	0	0	0	0
406984	9	2	8	14	1	14	7	15	12	1
406983	14	5	6	9	0	15	15	23	6	4
554210	16	7	14	28	1	32	21	33	8	2
100506376	37	13	36	19	7	111	35	13	12	10
254173	139	51	130	66	45	273	73	59	37	41
8784	4	10	17	15	3	30	26	36	6	1
7293	18	20	109	27	3	12	43	32	17	6
51150	2589	3097	4773	2732	2528	2182	3002	5060	3049	2804
126792	299	290	629	426	265	282	446	488	430	274
388581	5	11	6	12	1	12	10	10	3	0
118424	814	971	1162	569	764	585	864	1249	973	735
101928895	31	17	28	34	10	31	37	26	26	29
6339	124	56	83	87	59	97	136	106	46	66
116983	698	615	550	511	229	1041	1110	908	518	254
102465434	0	0	0	0	0	1	1	0	1	0
109623456	3	3	0	4	1	9	12	4	3	2
126789	204	253	234	115	164	156	206	392	263	176
54973	1550	1817	2192	1347	1469	1542	1725	2803	1825	1362
102465435	3	6	2	1	1	7	5	8	4	3
80772	571	836	415	282	605	220	673	1240	846	500
83756	37	27	7	8	17	14	23	20	11	37
1855	1350	1648	1144	1011	1064	990	1335	2154	1453	1192
102466740	1	3	2	0	1	3	2	2	1	1
54587	608	743	1271	643	107	480	2653	1601	419	164
54998	1376	1235	1976	859	1572	738	1128	2260	1624	1091
